A,B,C,D,E,G,(A⊕B) ↔ ¬C,C ↔ (¬B ∧ E),(¬A ∧ ¬E) → C,(A ∨ E) → ¬D,D → (B ∧ C),E ↔ (B ∨ ¬D),G → A,G → (C ∧ ¬B),(¬E ∧ G) → D,(A ∧ G) → B,All_Premises,(B⊕D)∧¬(C∧G)
0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,-
0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,-
0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,-
0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,-
0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,-
0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-
0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,-
0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,-
0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,-
0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,-
0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,-
0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,-
0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,-
0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,-
0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,-
0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,-
0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,-
0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,-
0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,-
0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,-
0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,-
0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,-
0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,-
0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,-
0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,-
0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,-
0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,-
0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,-
0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,-
0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,-
1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,-
1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-
1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,-
1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,-
1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,-
1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,-
1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,-
1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,-
1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,-
1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,-
1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,-
1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,-
1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,-
1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,-
1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,-
1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,-
1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,-
1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,-
1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,-
1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,-
1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,-
1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,-
1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,-
1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,-
1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,-
1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,-
1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,-
1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,-
1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,-
1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,-
1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,-
1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,-
